"insurer","documentType","employeeId","employeeName","documentFilename","receivedAt","signatureRequirement","deliveryChannel","deliveryTarget","status","notes"
"Allianz","AuditReport","EMP009","Lukasz Maj","20250913-AuditReport-EMP009.pdf","2025-09-13T23:57:02.3847606+03:00","QES","API","https://sandbox.allianz.example/api/audit-report","pending","Contains all required annexes for AuditReport."
"Allianz","AuditReport","EMP011","Bartosz Wisniewski","20250908-AuditReport-EMP011.pdf","2025-09-08T20:18:02.3847606+03:00","QES","API","https://sandbox.allianz.example/api/audit-report","pending","Awaiting TrustLynx signature guidance for AuditReport."
"Allianz","ClaimForm","EMP010","Tomasz Falkowski","20250905-ClaimForm-EMP010.pdf","2025-09-06T09:50:02.3847606+03:00","QES","Email","claim-form@allianz-sandbox.example.com","pending","Contains all required annexes for ClaimForm."
"Allianz","ComplianceCertificate","EMP003","Xavier Ratajczak","20250901-ComplianceCertificate-EMP003.pdf","2025-09-01T19:06:02.3847606+03:00","QES","API","https://sandbox.allianz.example/api/compliance-cert","pending","Auto-generated ComplianceCertificate package for quarterly review."
"Allianz","ComplianceCertificate","EMP013","Norbert Sawicki","20250901-ComplianceCertificate-EMP013.pdf","2025-09-01T22:42:02.3847606+03:00","QES","API","https://sandbox.allianz.example/api/compliance-cert","pending","Ready for single-click batch pipeline (ComplianceCertificate)."
"Allianz","ComplianceCertificate","EMP020","Iwona Lis","20250905-ComplianceCertificate-EMP020.pdf","2025-09-06T03:30:02.3847606+03:00","QES","Email","compliance-cert@allianz-sandbox.example.com","pending","Auto-generated ComplianceCertificate package for quarterly review."
"Allianz","Onboarding","EMP022","Gosia Mazurek","20250911-Onboarding-EMP022.pdf","2025-09-12T05:53:02.3847606+03:00","QES","Email","onboarding@allianz-sandbox.example.com","pending","Includes supplemental exhibits for Onboarding."
"Allianz","Onboarding","EMP025","Bartosz Zielinska","20250902-Onboarding-EMP025.pdf","2025-09-02T17:55:02.3847606+03:00","QES","Email","onboarding@allianz-sandbox.example.com","pending","Auto-generated Onboarding package for quarterly review."
"Allianz","PolicyRenewal","EMP021","Rafal Piatek","20250919-PolicyRenewal-EMP021.pdf","2025-09-19T22:52:02.3847606+03:00","QES","API","https://sandbox.allianz.example/api/policy-renewal","pending","Includes supplemental exhibits for PolicyRenewal."
"Generali","AuditReport","EMP002","Urszula Janik","20250907-AuditReport-EMP002.pdf","2025-09-07T18:54:02.3847606+03:00","AES","Email","audit-report@generali-sandbox.example.com","pending","Contains all required annexes for AuditReport."
"Generali","AuditReport","EMP019","Gosia Lis","20250918-AuditReport-EMP019.pdf","2025-09-18T17:45:02.3847606+03:00","AES","API","https://sandbox.generali.example/api/audit-report","pending","Includes supplemental exhibits for AuditReport."
"Generali","ClaimForm","EMP001","Hubert Ratajczak","20250831-ClaimForm-EMP001.pdf","2025-08-31T20:36:02.3847606+03:00","AES","Email","claim-form@generali-sandbox.example.com","pending","Includes supplemental exhibits for ClaimForm."
"Generali","ClaimForm","EMP016","Yvonne Król","20250831-ClaimForm-EMP016.pdf","2025-09-01T02:44:02.3847606+03:00","AES","API","https://sandbox.generali.example/api/claim-form","pending","Awaiting TrustLynx signature guidance for ClaimForm."
"Generali","ClaimForm","EMP030","Yvonne Urban","20250920-ClaimForm-EMP030.pdf","2025-09-21T02:41:02.3847606+03:00","AES","API","https://sandbox.generali.example/api/claim-form","pending","Ready for single-click batch pipeline (ClaimForm)."
"Generali","Onboarding","EMP026","Olga Kowalski","20250915-Onboarding-EMP026.pdf","2025-09-16T01:05:02.3847606+03:00","AES","Email","onboarding@generali-sandbox.example.com","pending","Auto-generated Onboarding package for quarterly review."
"LINK4","AuditReport","EMP012","Marta Wisniewski","20250905-AuditReport-EMP012.pdf","2025-09-06T06:14:02.3847606+03:00","QES","Email","audit-report@link4-sandbox.example.com","pending","Prepared for expedited insurer validation (AuditReport)."
"LINK4","PolicyRenewal","EMP014","Marta Urban","20250914-PolicyRenewal-EMP014.pdf","2025-09-14T21:01:02.3847606+03:00","QES","Email","policy-renewal@link4-sandbox.example.com","pending","Prepared for expedited insurer validation (PolicyRenewal)."
"Nationale","AuditReport","EMP017","Urszula Lewandowski","20250920-AuditReport-EMP017.pdf","2025-09-21T02:02:02.3847606+03:00","AES","Email","audit-report@nationale-sandbox.example.com","pending","Contains all required annexes for AuditReport."
"Nationale","AuditReport","EMP023","Zofia Falkowski","20250919-AuditReport-EMP023.pdf","2025-09-20T03:11:02.3847606+03:00","AES","API","https://sandbox.nationale.example/api/audit-report","pending","Contains all required annexes for AuditReport."
"Nationale","CoverageUpdate","EMP028","Hubert Czarnecki","20250829-CoverageUpdate-EMP028.pdf","2025-08-29T18:06:02.3847606+03:00","AES","Email","coverage-update@nationale-sandbox.example.com","pending","Contains all required annexes for CoverageUpdate."
"Nationale","PolicyRenewal","EMP004","Piotr Wrobel","20250904-PolicyRenewal-EMP004.pdf","2025-09-04T13:20:02.3847606+03:00","AES","Email","policy-renewal@nationale-sandbox.example.com","pending","Contains all required annexes for PolicyRenewal."
"Nationale","PolicyRenewal","EMP007","Norbert Sikorska","20250831-PolicyRenewal-EMP007.pdf","2025-09-01T11:55:02.3847606+03:00","AES","Email","policy-renewal@nationale-sandbox.example.com","pending","Prepared for expedited insurer validation (PolicyRenewal)."
"Nationale","PolicyRenewal","EMP015","Tomasz Osinski","20250918-PolicyRenewal-EMP015.pdf","2025-09-19T02:01:02.3847606+03:00","AES","API","https://sandbox.nationale.example/api/policy-renewal","pending","Ready for single-click batch pipeline (PolicyRenewal)."
"Nationale","PolicyRenewal","EMP024","Alice Kowalski","20250911-PolicyRenewal-EMP024.pdf","2025-09-11T20:51:02.3847606+03:00","AES","Email","policy-renewal@nationale-sandbox.example.com","pending","Awaiting TrustLynx signature guidance for PolicyRenewal."
"PZU","ClaimForm","EMP029","Ewa Sawicki","20250919-ClaimForm-EMP029.pdf","2025-09-19T14:16:02.3847606+03:00","QES","API","https://sandbox.pzu.example/api/claim-form","pending","Ready for single-click batch pipeline (ClaimForm)."
"PZU","ComplianceCertificate","EMP027","Gosia Lewandowski","20250909-ComplianceCertificate-EMP027.pdf","2025-09-09T23:43:02.3847606+03:00","QES","API","https://sandbox.pzu.example/api/compliance-cert","pending","Awaiting TrustLynx signature guidance for ComplianceCertificate."
"PZU","CoverageUpdate","EMP006","Sylwia Urban","20250831-CoverageUpdate-EMP006.pdf","2025-09-01T10:32:02.3847606+03:00","QES","Email","coverage-update@pzu-sandbox.example.com","pending","Auto-generated CoverageUpdate package for quarterly review."
"PZU","Onboarding","EMP008","Olga Lewandowski","20250909-Onboarding-EMP008.pdf","2025-09-09T21:08:02.3847606+03:00","QES","API","https://sandbox.pzu.example/api/onboarding","pending","Prepared for expedited insurer validation (Onboarding)."
"PZU","PolicyRenewal","EMP005","Sylwia Osinski","20250917-PolicyRenewal-EMP005.pdf","2025-09-18T03:32:02.3847606+03:00","QES","Email","policy-renewal@pzu-sandbox.example.com","pending","Contains all required annexes for PolicyRenewal."
"PZU","PolicyRenewal","EMP018","Damian Lewandowski","20250924-PolicyRenewal-EMP018.pdf","2025-09-24T18:29:02.3847606+03:00","QES","API","https://sandbox.pzu.example/api/policy-renewal","pending","Auto-generated PolicyRenewal package for quarterly review."
